비자코드,상위코드,사증·체류,신청종류,신청상황,대상자,자격요건,절차,수수료,사증유효기간,1회부여 체류기간,체류상한,제한,예외,의무사항,점수표,쿼터,초청자,추천·승인기관,제출서류,예상질문,출처,선행자격,다음단계,동반가족,키워드,검수상태,검수메모
D-5,D-5,체류,체류기간 연장,,,,,,,,,,,,,,,,"[필수서류]
- 신청서(별지34호 서식)
- 여권 및 외국인등록증
- 수수료
- 재직증명서 또는 파견명령서(본사발행)
- 체류지 입증서류(임대차계약서, 숙소제공 확인서, 체류기간 만료예고 통지우편물, 공공요금 납부영수증, 기숙사비 영수증 등)","한국에서 취재 일 하면서 체류 연장하려면 뭐 내요?
체류지 입증서류로 어떤 게 인정되나요?
파견명령서 대신 재직증명서로도 되나요?",D-5 취재 / 체류기간 연장 제출서류 (p. 41),외국 언론사·방송사 소속,"F-2 거주, F-5 영주",F-3 동반,"취재, 언론, 특파원",완료,
D-5,D-5,체류,재입국허가,출국 후 체류기간 범위 내에서 1년을 초과하여 2년 내에 재입국하려는 자,,,,,,,1년 초과 2년 이내,"입국규제 및 사증발급규제자는 체류지 관할 청(사무소·출장소)에 방문하여 재입국허가를 받아야 함
사우디아라비아, 이란, 리비아는 복수재입국제한. 단, 동 국가의 국민 중 결혼이민(F-6), 유학(D-2), 일반연수(D-4)는 가능","등록을 필한 외국인이 출국한 날로부터 1년 이내에 재입국하려는 경우 재입국허가 면제
체류기간이 1년보다 적게 남아있는 경우 체류기간 범위 내에서 재입국허가 면제",,,,,,"[필수서류]
- 신청서(별지 34호서식)
- 여권 원본
- 외국인등록증
- 수수료","잠깐 본국 다녀와도 재입국허가 안 받아도 되나요?
1년 넘게 나갔다 와도 다시 들어올 수 있나요?
복수 재입국허가 어떻게 받아요?

1년 넘게 나가 있을 건데 복수재입국허가는 어떻게 받아요?
재입국허가 신청에 필요한 서류는 뭐예요?
출국 후 최대 얼마 동안 재입국이 보장되나요?",D-5 취재 / 재입국허가 (p. 31),외국 언론사·방송사 소속,"F-2 거주, F-5 영주",F-3 동반,"취재, 언론, 특파원",완료,
D-5,D-5,체류,외국인등록,,,,변경일로부터 15일 이내 신고,,,,,,,"신고사항 : 성명, 성별, 생년월일 및 국적, 여권의 번호·발급일자·유효기간
신고대상 : 소속기관 또는 단체의 변경(명칭변경 포함)이나 추가
신고기한 : 변경일로부터 15일 이내",,,,,"[필수서류]
- 신청서(별지34호 서식)
- 여권원본
- 표준규격사진1장
- 수수료
- 지국·지사의 설치허가증 또는 '부가가치세법'에 따른 사업자등록증
- 체류지 입증서류

[기타서류]
국내에 지국·지사가 없거나 증명을 발급받을 수 없는 외신은 주무부처(문화체육관광부 해외문화홍보원)의 협조공문으로 갈음 가능

[필수서류]
- 신청서(별지 34호 서식)
- 여권 및 외국인등록증
- 수수료
- 변경관련 입증서류","취재 비자로 외국인등록 할 때 뭐 챙겨가요?
사업자등록증이 없으면 어떻게 해요?
지국 설치허가증도 꼭 필요해요?

여권 번호가 바뀌었는데 며칠 안에 신고해야 하나요?
소속 언론사 이름이 변경됐는데 어떻게 처리하나요?
외국인등록사항 변경신고에 필요한 서류는요?",D-5 취재 / 외국인등록 신청서류 (p. 105),외국 언론사·방송사 소속,"F-2 거주, F-5 영주",F-3 동반,"취재, 언론, 특파원",완료,
D-6,D-6,체류,체류자격외 활동허가,"종교(D-6) 자격 체류자

동일 종교재단 산하기관 근무자","교수(E-1) ~ 특정활동(E-7), 취재(D-5) ~ 무역경영(D-9)자격으로 외국인등록을 마친 합법 체류자
외국인등록(등록면제자 포함)을 마친 합법 체류자","직장 내에서 동료직원 등을 대상으로 하는 회화지도 활동은 체류자격외 활동 허가(신고)대상 아님
영리 또는 유상 목적이 아닌 사회봉사활동 차원의 회화지도 활동은 체류자격외 활동 허가(신고)대상 아님
회화지도 활동이 주된 활동이 되거나 허용기준 등을 벗어난 회화지도 활동은 자율 허용대상에서 제외
동일 종교재단 산하기관 근무자의 종교(D-6), 교수(E-1) 상호간 체류자격외 활동 가능",,,,,,,원래의 체류목적을 침해하지 않은 범위 내에서 정규교육기관(초‧중‧고 및 대학)의 교육을 받고자 하는 때는 체류기간 범위 내에서 별도의 허가 절차 불요,,,,,,"[필수서류]
- 신청서(별지34호 서식)
- 여권 및 외국인등록증
- 수수료
- 동일재단입증서류
- 고용계약서 원본 및 사본
- 학위증
- 사업자등록증 사본
- 원근무처장의 동의서","종교 비자로 와있는데 같은 재단의 대학에서 강의도 할 수 있나요?
교회 봉사로 회화지도 해도 되나요?
선교사로 와서 학교 다닐 때 별도 허가 필요해요?

같은 재단 학교에서 강의하려면 어떤 서류 내요?
학위증과 고용계약서는 꼭 있어야 하나요?
원근무처 동의서는 어디서 받아요?",D-6 종교 / 체류자격외 활동 (p. 104),종교단체 파송,"F-2 거주, F-5 영주",F-3 동반,"종교, 선교, 종교활동",완료,
D-6,D-6,체류,근무처 변경/추가,,,"근무처 변경·추가 허가(신고) 대상 아님
소속기관 또는 단체의 명칭이 변경되는 경우에는 법 제35조의 외국인등록사항 변경신고를 받아 처리",,,,,,,,소속기관 또는 단체의 명칭 변경 시 외국인등록사항 변경신고,,,,,,"소속 교회를 옮기면 근무처 변경 신고해야 하나요?
종교단체 이름이 바뀌었을 때 어떻게 처리하나요?
근무처 추가 허가는 필요 없나요?",D-6 종교 / 근무처 변경·추가 (p. 85),종교단체 파송,"F-2 거주, F-5 영주",F-3 동반,"종교, 선교, 종교활동",완료,
D-6,D-6,체류,체류자격 변경,사증면제(B-1) 자격으로 입국한 독일인 또는 캐나다 국민,,"원칙적 불가, 예외적 허용
사증면제(B-1) 자격으로 입국한 독일인에 대한 장기체류자격으로 변경 (기술연수(D-3), 비전문취업(E-9) 및 관광취업(H-1)을 제외한 모든 장기체류자격)
사증면제(B-1) 자격으로 입국한 캐나다 국민에 대한 장기체류자격으로 변경 (문화예술(D-1), 종교(D-6), 방문동거(F-1), 동반(F-3), 기타(G-1))",,,,"독일인: 체류자격별 1회 부여할 수 있는 체류기간의 상한
캐나다 국민: 입국일로부터 6개월 미만",,원칙적으로 체류자격 변경 불가,,,,,,,"[필수서류]
- 신청서(별지34호 서식)
- 여권
- 표준규격사진1장
- 수수료
- 파송명령서(파송단체 발행)
- 해당 단체 설립허가서
- 사업자등록증 사본 또는 고유번호증 사본","무비자로 입국했는데 종교비자로 바꿀 수 있나요?
독일 국적인데 장기체류로 변경 가능한가요?
캐나다 국민은 어떤 자격으로 변경 가능해요?

종교비자로 변경할 때 어떤 서류 챙겨야 해요?
파송단체에서 받아야 하는 서류는 뭐예요?
교회 설립허가서도 필요해요?",D-6 종교 / 체류자격 변경허가 (p. 108),종교단체 파송,"F-2 거주, F-5 영주",F-3 동반,"종교, 선교, 종교활동",완료,
D-6,D-6,체류,체류기간 연장,,,,,,,,,,,,,,,,"[필수서류]
- 신청서(별지34호 서식)
- 여권 및 외국인등록증
- 수수료
- 재직증명서 또는 파송명령서(파송단체 발행)
- 체류지 입증서류(임대차계약서, 숙소제공 확인서, 체류기간 만료예고 통지우편물, 공공요금 납부영수증, 기숙사비 영수증 등)","선교사로 한국에 더 머물려면 어떤 서류 내요?
파송명령서는 어느 단체에서 받나요?
체류지 증명은 어떤 걸로 하나요?",D-6 종교 / 체류기간 연장 제출서류 (p. 41),종교단체 파송,"F-2 거주, F-5 영주",F-3 동반,"종교, 선교, 종교활동",완료,
D-6,D-6,체류,재입국허가,,출국 후 체류기간 범위 내에서 1년을 초과하여 2년 내에 재입국하려는 자,,,,,,,"입국규제 및 사증발급규제자는 체류지 관할 청(사무소·출장소)에 방문하여 재입국허가를 받아야 하며 수수료 제출 대상
사우디아라비아, 이란, 리비아는 복수재입국제한. 단, 동 국가의 국민 중 결혼이민(F-6), 유학(D-2), 일반연수(D-4)는 가능","등록을 필한 외국인이 출국한 날로부터 1년 이내에 재입국하려는 경우 재입국허가 면제
체류기간이 1년보다 적게 남아있는 경우 체류기간 범위 내에서 재입국허가 면제",,,,,,"[필수서류] 신청서(별지 34호 서식), 여권 원본, 외국인등록증, 수수료","선교 활동 중에 잠깐 본국 다녀와도 되나요?
재입국허가 면제 조건이 어떻게 돼요?
1년 넘게 출국할 때는 어떻게 해요?",D-6 종교 / 재입국허가 (p. 158),종교단체 파송,"F-2 거주, F-5 영주",F-3 동반,"종교, 선교, 종교활동",완료,"2차 검수: 제출서류/대상자 보강 필요. 다른 D-5 재입국허가 행과 패턴 일치시킬 것 || [1차검증] 출처 p.158이지만 D-6 종교 섹션은 line 1541에 위치. 페이지 매핑 확인 필요. 다만 manual상 p. 158 표기는 PDF 원본 페이지 번호일 수 있어 수용 가능. || [2차자동정정] [제출서류] 적용: '' → '[필수서류] 신청서(별지 34호 서식), 여권 원본, 외국인등록증, 수수료' | [대상자] 적용: '' → '출국 후 체류기간 범위 내에서 1년을 초과하여 2년 내에 재입국하려는 자' || [3차검토] [출처] 검토: 현재='D-6 종교 / 재입국허가 (p. 158)' / 제안='' (Content is correct but page reference is wrong. Should be p.) || [3차요약] Content is correct but page reference is wrong. Should be p. 105 or p. 106."
D-6,D-6,체류,외국인등록,,,,,,,,,,,"외국인등록사항 변경신고: 성명/성별/생년월일/국적, 여권번호·발급일자·유효기간, 소속기관 변경. 신고기한: 변경일로부터 15일 이내",,,,,"[필수서류]
- 신청서(별지34호 서식)
- 여권원본
- 표준규격사진1장
- 수수료
- '종교단체 또는 사회복지단체 설립' 관련 서류
- 체류지 입증서류","종교비자로 외국인등록 할 때 어떤 서류 필요해요?
종교단체 설립 서류는 어떻게 받아요?
체류지 입증은 뭘로 하나요?",D-6 종교 / 외국인등록 신청서류 (p. 32),종교단체 파송,"F-2 거주, F-5 영주",F-3 동반,"종교, 선교, 종교활동",완료,"2차 검수: 의무사항 보강 권장 (외국인등록사항 변경신고) || [1차검증] 1차 정정: 비자코드 D-6 적절. 출처 p.32 일치. || [2차자동정정] [의무사항] 적용: '' → '외국인등록사항 변경신고: 성명/성별/생년월일/국적, 여권번호·발급일자·유효기간, 소속기관 '"
D-7,D-7,체류,체류자격외 활동허가,"주재(D-7) 자격 체류자

국내기업(투자기업포함)에서 상근이사 이상의 직으로 근무하는 투자자(D-7, D-8, D-9) 또는 전문인력(E-1, E-3 ~ E-5, E-7) 자격 소지자","교수(E-1) ~ 특정활동(E-7), 취재(D-5) ~ 무역경영(D-9)자격으로 외국인등록을 마친 합법 체류자","직장 내에서 동료직원 등을 대상으로 하는 회화지도 활동은 체류자격외 활동 허가(신고)대상 아님
영리 또는 유상 목적이 아닌 사회봉사활동 차원의 회화지도 활동은 체류자격외 활동 허가(신고)대상 아님
회화지도 활동이 주된 활동이 되거나 허용기준 등을 벗어난 회화지도 활동은 자율 허용대상에서 제외
기업투자(D-8) 자격 소지자에 대한 동일계열 회사 내의 주재(D-7)자격의 체류자격외 활동 가능

대학에서 90일 이내 강의활동을 하려는 자",,,,90일 이내,,,원래의 체류목적을 침해하지 않은 범위 내에서 정규교육기관(초‧중‧고 및 대학)의 교육을 받고자 하는 때는 체류기간 범위 내에서 별도의 허가 절차 불요,,,,,,"[필수서류]
- 신청서(별지 34호 서식)
- 여권 및 외국인등록증
- 수수료
- 총(학)장의 추천서
- 고유번호증(사업자등록증) 사본
- 고용계약서 원본 및 사본
- 원근무처장의 동의서","파견근무자로 와있는데 회사에서 동료한테 영어 가르쳐도 되나요?
봉사활동으로 회화지도 해도 되나요?
아이가 학교 다니려면 별도 허가 받아야 해요?

외국 회사 임원으로 있는데 대학에서 강의해도 되나요?
대학 강의는 얼마나 할 수 있어요?
강연활동 자격외 신청에 필요한 서류는 뭐예요?",D-7 주재 / 체류자격외 활동 (p. 111),동일 계열 외국기업 파견명령,"F-2 거주, F-5 영주",F-3 동반,"주재, 파견, 외국기업 지사",완료,
D-7,D-7,체류,근무처 변경/추가,주재(D-7) 자격 소지자의 같은 계열회사 내 이동,,"근무처 변경·추가 허가(신고) 대상 아님 - 외국인등록사항 변경신고로 처리
같은 계열회사내의 이동일 경우 '외국인등록사항 변동신고'로 업무처리",,,,,,,,소속기관 또는 단체의 변경(명칭변경 포함) 시 외국인등록사항 변경신고,,,,,"[필수서류]
- 신청서(별지34호 서식)
- 여권 및 외국인등록증
- 수수료
- 파견명령서 원본(외국 본사발행)
- 동일계열사 입증서류(법인등기사항전부증명서 등)
- 추가 변경근무처의 영업자금도입증빙서류(외국환매입증명서, 임대차계약서 등)
- 추가 변경근무처의 법인등기사항전부증명서 원본
- 추가 변경근무처의 사업자등록증 사본","같은 그룹의 다른 계열사로 옮기면 어떻게 신고하나요?
근무처 변경할 때 필요한 서류는 뭐예요?
파견명령서는 어디서 발행받나요?",D-7 주재 / 근무처 변경·추가 (p. 112),동일 계열 외국기업 파견명령,"F-2 거주, F-5 영주",F-3 동반,"주재, 파견, 외국기업 지사",완료,
D-7,D-7,체류,체류자격 변경,"기업투자(D-8) 자격 소지자, 단기방문(C-3-4) 칠레국민, 사증면제(B-1) 독일인

기업투자(D-8)에서 주재(D-7)로 변경하는 자

단기방문(C-3-4)사증을 소지한 칠레국민",,"기업투자(D-8) 자격을 소지하고 외국인투자기업에 필수전문인력으로 근무하고 있는 자로 동일계열 외국기업에서 설치한 국내지사, 자회사, 주재사무소, 법무부장관이 정하는 계열회사 등에 파견(전근)명령을 받아 근무하려는 합법체류자
단기방문(C-3-4)사증을 소지한 칠레국민으로 관리자나 임원자격 또는 전문지식과 관련된 자격으로 일방당사국의 기업에 고용되어 그 기업, 자회사 또는 계열사에 근무하려는 자
사증면제(B-1) 자격으로 입국한 독일인",신설지사 및 과거 출입국관리법 위반 신청자의 경우 반드시 실태조사(확인필요),,,1회에 부여할 수 있는 체류기간 상한: 3년,,,,,,,,,"[필수서류]
- 신청서(별지34호 서식)
- 여권 및 외국인등록증
- 표준규격사진1장
- 수수료
- 신청사유서
- 파견명령서(외국본사 발행) 원본 또는 재직예정증명서
- 외국기업의 국내지사 설치허가서 사본 또는 연락사무소 설치허가서 사본(외국환은행 발행)
- 동일계열 외국기업 입증 서류(법인등기사항전부증명서 등)
- 근무하려는 기업의 연간납세증명서 또는 외국환매입증명서 등 영업자금 도입실적 증명서류
- 사무실 임대차 계약서 원본
- 근무 중인 외국인 현황

[기타서류]
개인 납세사실증명원 원본(근로소득원천징수영수증(작년) 또는 소득금액증명원(최근 기록)) - 필요 시 추가 서류

[필수서류]
- 신청서(별지34호 서식)
- 여권
- 표준규격사진1장
- 수수료
- 외국소재 회사 등 재직증명서
- 파견명령서(본사 발행)
- 국내 지점 등 설치 입증서류(지사 또는 연락사무소 설치허가서 등)
- 외국환매입증명서 등 영업자금 도입실적 입증서류
- 이력서 또는 경력증명서
- 사업자등록증 사본
- 연간 납세사실증명서","기업투자 비자에서 주재 비자로 바꿀 수 있나요?
칠레 국적으로 단기 방문 중인데 주재로 변경되나요?
동일 계열사로 파견 명령 받았는데 자격 변경 가능해요?

투자 비자에서 주재 비자로 바꾸려면 뭐 챙겨가요?
파견명령서는 누가 발행해요?
영업자금 도입실적은 어떻게 증명하나요?

칠레에서 단기로 왔는데 회사 근무하려면 어떤 서류 내요?
경력증명서는 꼭 있어야 하나요?
파견명령서랑 사업자등록증 둘 다 필요한가요?

주재 비자로 한 번에 얼마나 머무를 수 있어요?
체류기간 상한은 어떻게 되나요?
3년 후엔 어떻게 연장하나요?",D-7 주재 / 체류자격 변경 대상 (p. 112),동일 계열 외국기업 파견명령,"F-2 거주, F-5 영주",F-3 동반,"주재, 파견, 외국기업 지사",완료,
D-7,D-7,체류,체류기간 연장,"영 별표 1의 16. 주재(D-7)란의 가목/나목 해당자, 외국법자문법률사무소 구성원 등",,"무역경영(D-9) 등 자격소지자에 대한 체류기간연장 시 개인 납세사실증명원 징구
외국인이 국내사업장 등에서 업무를 수행하고 급여를 외국의 본사에서 지급 받는 경우 을종근로소득세 부과 대상","을근납세조합 가입 시: 을근납세조합장이 발급한 을종근로소득원천징수영수증 제출
을근납세조합 미가입 시: 주소지 관할 세무서장이 발급한 소득금액증명원 제출",,,,,,,,,,,,"[필수서류]
- 신청서(별지34호 서식)
- 여권 및 외국인등록증
- 수수료
- 가목 해당자: 파견명령서(외국본사 발행) 또는 외국본사 재직증명서, 국내지사설치허가서 사본 또는 연락사무소 설치허가서 사본(외국환은행 발행), 영업자금도입실적증빙서류(외국환매입증명서, 임대차계약서 등), 개인 납세사실증명 서류 (개인 납세사실증명원 원본 또는 근로소득원천징수영수증(작년의 기록) 또는 소득금액증명원), 체류지 입증서류
- 나목 해당자: 재직증명서, 납세사실증명 서류, 체류지 입증서류
- 외국법자문법률사무소: 국내지점 등 설치 신고서 및 사업자등록증, 외국법자문법률사무소 및 외국법자문사 등록증 사본, 파견명령서(본사발행, 파견기간 명시) 및 재직증명서(국내지점), 납세증명서 및 납세사실증명서(개인 및 회사), 체류지 입증서류","파견근무자로 체류기간 연장할 때 뭐 챙겨가요?
외국 본사에서 급여 받는 경우 세금 증명은 어떻게 해요?
외국법자문법률사무소 직원도 같은 서류 내나요?",D-7 주재 / 체류기간 연장 제출서류 (p. 113),동일 계열 외국기업 파견명령,"F-2 거주, F-5 영주",F-3 동반,"주재, 파견, 외국기업 지사",완료,
D-7,D-7,체류,외국인등록,,,,,,,,,,,"외국인등록사항 변경신고: 성명/성별/생년월일/국적, 여권의 번호·발급일자·유효기간, 소속기관 또는 단체 변경. 신고기한: 변경일로부터 15일 이내",,,,,"[필수서류]
- 신청서(별지34호 서식)
- 여권원본
- 표준규격사진1장
- 수수료
- 사업자등록증 (외국법자문법률사무소 등록증 : 해당자에 한함)
- 체류지 입증서류","주재 비자로 외국인등록 할 때 어떤 서류 내요?
사업자등록증 없으면 어떻게 해요?
외국법자문법률사무소 직원은 추가 서류가 있나요?",D-7 주재 / 외국인등록 신청서류 (p. 113~114),동일 계열 외국기업 파견명령,"F-2 거주, F-5 영주",F-3 동반,"주재, 파견, 외국기업 지사",완료,"2차 검수: 의무사항(외국인등록사항 변경신고) 보강 권장 || [1차검증] 1차 정정: 비자코드 D-7 적절. 출처 p.113~114 일치. || [2차자동정정] [의무사항] 적용: '' → '외국인등록사항 변경신고: 성명/성별/생년월일/국적, 여권의 번호·발급일자·유효기간, 소속기'"
D-7,D-7,체류,사증발급,,"필수전문인력 - 임원(EXECUTIVE), 상급관리자(SENIOR MANAGER), 전문가(SPECIALIST)","외국의 공공기관, 단체 또는 회사의 본사, 지사, 기타 사업소 등에서 1년 이상 근무한 자로서 대한민국에 있는 그 계열회사, 자회사, 지점 또는 사무소 등에 필수전문인력으로 파견되어 근무하려는 자 (기업투자(D-8)자격 해당자 제외)
국가기간산업 또는 국책사업에 종사하려는 경우 또는 법무부장관이 필요하다고 인정하는 경우에는 1년 이상의 근무요건을 적용하지 아니함
상장법인 또는 공공기관이 설립한 해외 현지법인이나 해외지점에서 1년 이상 근무한 자로서 대한민국에 있는 그 본사나 본점에 파견되어 전문적인 지식·기술 또는 기능을 제공하거나 전수받으려는 자 (다만, 상장법인의 해외 현지법인이나 해외지점 중 본사의 투자금액 또는 영업기금이 미화 50만 달러 미만인 경우는 제외)

[표]
필수전문인력 3종 구분: 임원, 상급관리자, 전문가

임원: 조직 내 조직 관리 제1차적 지휘, 의사결정 광범위 권한, 기업 최고위 임원으로 이사회/주주로부터 일반적 지휘·감독만 받음
상급관리자: 기업 또는 부서단위 조직의 목표와 정책 수립 및 시행 책임, 계획·지휘·감독 권한 및 직원에 대한 고용 및 해고권
전문가: 해당기업 서비스의 연구·설계·기술·관리 등에 필수적인 고도의 전문적이고 독점적인 경험과 지식",,,,3년,,,,,,,,,,"해외 본사 직원이 한국 지사로 파견되려면 어떤 조건이 있나요?
필수전문인력 임원으로 인정받으려면 어떤 위치여야 하나요?
국책사업이면 근무기간 요건이 면제되나요?",D-7 주재 / 자격 해당자 (p. 110),동일 계열 외국기업 파견명령,"F-2 거주, F-5 영주",F-3 동반,"주재, 파견, 외국기업 지사",완료,2차 검수: 미검수→완료. 1회부여 체류기간(3년) 보강 권장 || [1차검증] 1차 정정: 비자코드 D-7 적절. 출처 p.110 일치. || [2차자동정정] [검수상태] 적용: '미검수' → '완료' | [1회부여 체류기간] 적용: '' → '3년'
D-8,D-8,체류,사증발급,,,"1. 외국인투자촉진법에 따른 외국인투자기업 대한민국 법인의 경영·관리 또는 생산·기술 분야에 종사하려는 필수 전문인력 (법인에 투자, D-8-1) - 설립완료 법인만 해당, 국내에서 채용하는 사람은 제외
2. 지식재산권을 보유하는 등 우수한 기술력으로 벤처기업육성에 관한 특별조치법에 따른 벤처기업 설립자 (벤처 투자, D-8-2)
3. 외국인투자촉진법에 따른 외국인투자기업인 대한민국 국민(개인)이 경영하는 기업의 필수전문인력 (개인기업에 투자, D-8-3) - 국내에서 채용하는 사람은 제외
4. 국내에서 전문학사 이상의 학위를 취득한 사람, 또는 국외에서 학사 이상의 학위를 취득한 사람, 또는 관계 중앙행정기관의 장이 추천한 사람으로서 지식재산권을 보유하거나 이에 준하는 기술력을 가진 법인 창업자 (기술 창업, D-8-4)",,,,,"법인에 투자(D-8-1) 및 개인기업에 투자(D-8-3): 5년
벤처투자(D-8-2) 및 기술창업(D-8-4): 2년",,,,,,,,,"한국 법인에 투자하면 어떤 비자 받을 수 있어요?
벤처기업 설립자도 비자 받을 수 있나요?
기술창업으로 한국 들어오려면 어떤 조건이 있어요?

기업투자 비자로 한 번에 얼마나 머무를 수 있어요?
벤처투자와 일반 법인투자 비자 체류기간이 다른가요?
기술창업 비자 체류기간은 어떻게 돼요?",D-8 기업투자 / 자격 해당자 (p. 116),외국인투자촉진법상 1억원 이상 투자,"F-5-5 (50만 달러 이상 투자자, 국민 5인 이상 고용) 또는 F-5-1 일반영주",F-3 동반,"기업투자, 외국인투자, 창업",완료,"D-8 사증발급/자격해당자 일반 정보. 선행자격·다음단계 일반화 표현 재검토 필요(D-8-2/D-8-4는 투자금 기반 아님). F-5 코드 매핑은 별도 영주 섹션 교차검증 필요. || [자동정정] [다음단계] 적용: 'F-5-5 (5억 이상) / F-5 영주' → 'F-5-7(외국인투자기업 5억 이상 투자 후 3년) 또는 F-5 일반영주' || [검토필요] [선행자격] 검토필요: 현재='외국인투자촉진법상 1억원 이상 투자' / 제안='(D-8-1/3) 외국인투자촉진법상 1억원 이상 투자 / (D-8-2) 벤처기업 확인 또는 기술성 우수평가 / (D-8-4) 전문학사 이상 학위' (사유: ) || Round2: 다음단계 round1 정정(F-5-7)은 오류이므로 F-5-5로 재정정. 선행자격은 round1의 [검토필요] 그대로 유효 — D-8-1/3은 외국인투자촉진법 1억 이상, D-8-2는 벤처기업 확인, D-8-4는 학위+점수제로 분기 표현 필요. || [2차검토필요] [다음단계] 검토필요: 현재='F-5-7(외국인투자기업 5억 이상 투자 후 3년) 또는 F-5 일반영주' / 제안='F-5-5 (50만 달러 이상 투자자, 국민 5인 이상 고용) 또는 F-5-1 일반영주' (사유: 다음단계 'F-5-5 또는 F-5 일반영주' 권장 (시행령 별표1의3 라목 + F-5 세부약호표 F-5-5 = 50만 달러 이상 투자자로 국민 ) || [3차PDF정정] [다음단계] 'F-5-7(외국인투자기업 5억 이상 투자 후 3년) 또는 F-5 일반영주' → 'F-5-5 (50만 달러 이상 투자자, 국민 5인 이상 고용) 또는 F-' || [3차요약] 다음단계 발명/오류"
D-8,D-8,체류,체류자격외 활동허가,"투자자(D-7, D-8, D-9) 중 상근이사 이상 또는 전문인력(E-1, E-3~E-5, E-7) 자격소지자","법인에 투자(D-8-1) 및 개인기업에 투자(D-8-3) 자격요건을 갖춘 등록외국인
벤처투자(D-8-2) 및 기술창업(D-8-4(S)) 자격요건을 갖춘 교수(E-1), 연구(E-3), 기술지도(E-4), 전문직업(E-5) 자격 등록외국인","본인의 연구·종사 분야 등 관련 벤처투자(D-8-2)·기술창업(D-8-4(S)) 활동만 허용

대학에서 90일 이내 강의활동을 하려는 자

90일을 초과하여 정기적으로 대학에서 강의활동을 하고자 하는 자는 본부 승인상신",,,,90일 이내,,,체류자격외활동허가 면제범위 확대: 원래의 체류목적을 침해하지 않은 범위 내에서 정규교육기관(초‧중‧고 및 대학)의 교육을 받고자 하는 때는 체류기간 범위 내에서 별도의 허가 절차 불요,,,,,,"[필수서류]
- 신청서(별지 34호 서식)
- 여권 및 외국인등록증
- 수수료
- 총(학)장의 추천서
- 고유번호증(사업자등록증) 사본
- 고용계약서 원본 및 사본
- 원근무처장의 동의서","투자 비자 가진 사람이 벤처투자 활동도 같이 할 수 있어요?
교수로 일하면서 기술창업도 가능해요?
어떤 분야의 벤처투자 활동만 허용되나요?

투자 비자로 와있는데 대학 강의 잠깐 할 수 있어요?
90일 이상 강의하려면 어떻게 해야 해요?
필요한 서류는 뭐가 있나요?",D-8 기업투자 / 체류자격외 활동 대상 (p. 116),외국인투자촉진법상 1억원 이상 투자,"F-5-5 (50만 달러 이상 투자자, 국민 5인 이상 고용) 또는 F-5-1 일반영주",F-3 동반,"기업투자, 외국인투자, 창업",완료,"Round2: 금액 표기 통일 권장(USD 50만 달러). 나머지는 원문 일치. || [2차자동정정] [다음단계] 적용: 'F-5-5 (5억 이상) / F-5 영주' → 'F-5-5 (50만 달러 이상 투자자, 국민 5인 이상 고용) 또는 F-5-1 일반영주' || [3차요약] 다음단계 'F-5-5 (50만 달러 + 5인 고용) 또는 F-5-1 일반영주' 정확. 자격요건/제출서류/페이지 모두 PDF p.113-126 (file p057-p063)와 일치."
D-8,D-8,체류,근무처 변경/추가,,,"근무처 변경·추가 허가(신고) 대상 아님
외국인등록사항 변경신고로 처리
주재(D-7) 내지 무역경영(D-9)자격 소지자의 같은 계열회사내의 이동일 경우 '외국인등록사항 변동신고'로 업무처리",,,,,,,,소속기관 또는 단체의 변경(명칭변경 포함) 시 외국인등록사항 변경신고,,,,,"[필수서류]
- 신청서(별지34호 서식)
- 여권 및 외국인등록증
- 수수료
- 파견명령서 원본(외국 본사발행)
- 동일계열사 입증서류(법인등기사항전부증명서 등)
- 추가 변경근무처의 영업자금도입증빙서류(외국환매입증명서, 임대차계약서 등)
- 추가 또는 변경근무처의 납세증명서 및 납세사실증명서
- 추가 변경근무처의 법인등기사항전부증명서 원본
- 추가 또는 변경근무처의 사업자등록증 사본
- 추가 또는 변경 근무처의 투자기업등록증 사본","같은 그룹사로 옮길 때 필요한 서류는 뭐예요?
투자 비자로 근무처 변경 신고하려면 어떻게 해요?
납세증명서도 같이 내야 하나요?",D-8 기업투자 / 근무처 변경·추가 (p. 111),외국인투자촉진법상 1억원 이상 투자,"F-5-5 (50만 달러 이상 투자자, 국민 5인 이상 고용) 또는 F-5-1 일반영주",F-3 동반,"기업투자, 외국인투자, 창업",완료,"Round2: 원문 충실. 다음단계 표기만 통일 권장. || [2차자동정정] [다음단계] 적용: 'F-5-5 (5억 이상) / F-5 영주' → 'F-5-5 (50만 달러 이상 투자자, 국민 5인 이상 고용) 또는 F-5-1 일반영주' || [3차요약] 다음단계 'F-5-5 (50만 달러 + 5인 고용) 또는 F-5-1 일반영주' 정확. 자격요건/제출서류/페이지 모두 PDF p.113-126 (file p057-p063)와 일치."
