비자코드,상위코드,사증·체류,신청종류,하위프로그램,신청상황,대상,자격요건,제출서류,절차,수수료,기간,제한,예외,의무사항,공통사항,점수표,쿼터,초청자,추천·승인기관,표 데이터,페이지,연계비자,키워드,예상질문,검수상태,검수메모
E-7 (E-7-4R),E-7,체류,체류기간 연장,E-7-4R,지역특화 숙련기능인력(E-7-4R) 체류자격 소지자,,"자격변경에 준하여 전환 요건(소득, 거주지역 등) 재심사. 요건 미충족 시 체류기간 연장 허가 제한
가. 소득 : 현재 근무처에서 연봉 2,600만원 이상 계약 (농·축산업, 어업·내항상선 종사자는 2,500만원 이상)
나. 거주지 : 인구감소지역 또는 인구감소관심지역
다. 취업 : 2년 이상 E-7-4R 고용계약
라. 고용기업 및 고용주 요건 : 국내외 법률위반으로 결격사유 해당하지 않을 것
마. 한국어능력 : 한국어능력 2급 이상 취득, 사회통합프로그램 2단계 이상 이수 (대상자)
한국어능력 (자격변경 시 미제출자에 한함) : 사회통합프로그램 2단계 이상 이수 또는 사전평가 3단계 이상 배정, TOPIK 2급 이상 취득. 자격변경 시 한국어능력 입증서류 제출자는 추가 제출 불요, 자격변경 시 동일 점수 인정","1. 일반 제출서류:
- 신청서(별지 34호 서식), 여권 및 외국인등록증, 수수료
- 고용계약서
- 개인 소득금액 증명(필수): 소득금액증명원(세무서 발급) 또는 근로소득원천징수부(소속회사 발급)
- 사업자등록증 사본 또는 법인등기부등본
- 신원보증서 원본 (사전 허가 14개 직종에 한해 징구)
- 체류지 입증서류(임대차계약서, 숙소제공 확인서, 체류기간 만료예고 통지우편물, 공공요금 납부영수증, 기숙사비 영수증 등)
- 고용주 납부내역증명, 납세증명서, 지방세 납세증명서 (정상영업 및 세금체납여부확인)
2. 한·인도 CEPA 독립전문가(IP):
- 협정상 양허직종(162개) 서비스공급계약 체결 전문가, 1년 이상 경력
- 최대 1년 단수사증발급인정서 발급 (1년 초과 시 1년 부여)
- 체류기간연장/근무처변경·추가/체류자격변경/체류자격외활동 제한 (인도적 사유는 예외)
3. 한·러 한시적 근로활동 협정 국내 채용 전문인력:
- 모회사 국내지사·지점·연락사무소·자회사·계열회사 직원으로 국내 채용
- 1년 유효 복수사증발급인정서, 1회에 한해 6개월 체류기간연장 (최장 1년 6개월)
- 가족동반 불허
- 귀국 후 본사 파견 시 D-7/D-8 사증 발급
4. 외국법자문법률사무소 파견 구성원/외국법자문사/사무직원:
- 신청서, 여권 및 외국인등록증, 수수료
- 국내 법률사무소 설립관련 서류, 고용계약서
- 체류지 입증서류
□ 필수 서류
1. (외국인 본인) 통합신청서(별지 제34호), 여권사본, 사진, 외국인등록증
2. (외국인 본인) 점수제 자체 심사표(붙임7)
3. (외국인 본인) 신상 기술서(붙임8)
4. (외국인 본인) 표준근로계약서 (E-7-4R)
5. (외국인 본인) 세무서 발행 소득금액증명원 (최근 2년)
6. (외국인 본인) 한국어능력 입증서류 (자격변경 시와 변동 있을 경우만)
7. (외국인 본인) 신원보증서(별지 제129호) — 고용주가 신원보증인
8. (외국인 본인) 거주지 입증서류
9. (현재 근무처) 사업자등록증 사본 또는 농업경영체등록
10. (현재 근무처) 납세증명서, 지방세납세증명서
11. (현재 근무처) 4대 보험 가입자 명부 또는 농업경영체등록, 공사금액입증 서류(건설업)
12. (현재 근무처) 고용기업 추천서(붙임9) 및 추천자 신분증 사본
□ 추가 서류
1. (외국인 본인) 국내 자격증 사본 (가점 해당자만)
2. (외국인 본인) 국내 학위증 사본 (가점 해당자만)
3. (외국인 본인) 국내 운전면허증 사본 (가점 해당자만)
4. (현재 근무처) 원청확인서 또는 기자재업체확인서 (조선업만)
5. (현재 근무처) 내항여객운송사업면허증 또는 내항화물운송사업등록증 (내항정기운송사업만)
외국인 준비서류:
- 고용계약서(최저임금, 근무시간, 근무장소, 계약일 등)
- 세무서 발행 직전 1년간의 외국인 개인별 소득금액증명
- 재직증명서
업체 준비서류:
- 납부내역증명, 납세증명서, 지방세 납세증명서(정상영업 및 세금체납여부 확인)
- 사업자등록증 및 법인등기부등본(해당자에 한함)",,6만원,,,"근무기간이 짧은 경우 등 소득증명을 발급받지 못하는 경우 예외적으로 기업이 발행한 근로소득원천징수부 등을 제출받아 심사
E-7-Y 체류자격 기간 내 다른 업체에 취업하지 못한 경우 본 지침 특례 적용하여 D-10-1으로 자격변경 가능",,,,,,,"E-7-4R 체류기간 연장 5대 요건 (소득·거주지·취업·고용기업/고용주·한국어능력)
가. 소득 : 연봉 2,600만원 이상 (농·축산·어업 2,500만원)
나. 거주지 : 인구감소지역 또는 인구감소관심지역
다. 취업 : 2년 이상 E-7-4R 고용계약
라. 고용기업·고용주 : 결격사유 해당 안할 것
마. 한국어능력 : TOPIK 2급 이상, 사회통합 2단계 이상",p. 222,"D-7, D-8, D-10-1","특정활동, 기간연장, 소득금액증명, 신원보증서, 한-인도 CEPA, 한-러 협정, 외국법자문, 체류기간 연장","특정활동 비자 연장하려면 무슨 서류 내요?
소득금액증명 어디서 받아요?
한-인도 CEPA 비자는 연장 안 되나요?
러시아 국내 채용 직원은 얼마나 체류 가능해요?",미검수,
E-7,E-7,체류,외국인등록,,,,,"1. 외국인등록 신청서류:
- 신청서(별지34호 서식), 여권원본, 표준규격사진1장, 수수료
- '부가가치세법'에 따른 사업자등록증
- 채용신체검사서 (외국인학교 등의 교사만 해당)
- 체류지 입증서류
2. 외국인등록사항 변경신고:
- 신청서(별지 34호 서식), 여권 및 외국인등록증, 수수료 없음
- 변경관련 입증서류",변경신고 신고기한: 변경일로부터 15일 이내,변경신고 수수료 없음,,,,"변경신고 신고사항: 성명, 성별, 생년월일 및 국적, 여권 번호·발급일자·유효기간
신고기한: 변경일로부터 15일 이내",,,,,,,p. 224,,"특정활동, 외국인등록, 채용신체검사, 외국인학교 교사, 변경신고","특정활동 비자로 외국인등록 어떻게 해요?
외국인학교 교사도 채용신체검사 내요?
여권 정보 바뀌면 며칠 안에 신고해야 해요?",미검수,
E-8,E-8,체류,외국인등록,,,계절근로(E-8) 대상자,법무부장관이 관계 중앙행정기관의 장과 협의하여 정하는 농작물 재배·수확(재배·수확과 연계된 원시가공 분야를 포함) 및 수산물 원시가공 분야에서 취업 활동을 하려는 사람으로서 법무부장관이 인정하는 사람,"① 통합신청서, 여권, 사진(35mm×45mm) 1매, 수수료
② 거주/숙소 제공 확인서 (고용주의 등기부등본, 임대차계약서 등 추가서류 불요)
③ 산재보험 가입증명원(사업장 가입 신청 입증서류) 또는 농·어업인 안전보험 보험증권(안전보험 가입 확약서)
④ 여행자보험 가입증명서
⑤ 마약검사 확인서 (검사결과는 밀봉상태로 제출, 법무부장관 지정 의료기관 또는 보건소·보건의료원에서 실시)
⑥ (지자체) 숙소점검 확인서 (지자체에서 일괄 공문 제출)",,외국인등록증 발급·재발급 3만 5천원,1회 부여 체류기간 상한 8개월 (총 체류기간 8개월을 초과할 수 없음),,,,,,,,,,p. 317,C-4,"계절근로, 농작물 재배·수확, 수산물 원시가공, 체류기간 8개월, 외국인등록, 통합신청서, 거주/숙소 제공 확인서, 마약검사 확인서","계절근로 비자는 어떤 사람이 받을 수 있어요?
농사일이나 수산물 가공으로 한국에 오려면 어떻게 해요?
계절근로로 얼마나 머물 수 있어요?
계절근로 외국인등록 할 때 무슨 서류 내요?",미검수,
E-8,E-8,체류,근무처 변경/추가,,,,,"① 통합신청서, 여권, 외국인등록증 (근무처변경 수수료 면제)
② 표준근로계약서 사본
③ 산재보험 가입증명원 또는 농·어업인 안전보험 보험증서 (새로 변경된 고용주로 변경)
④ 건강보험 가입증명원 또는 신청 입증서류 (해당자만 제출)
⑤ 계절근로자 배치 대상 고용주 확인서 (지자체 발급)
⑥ 거주/숙소 제공 확인서
⑦ 외국인등록 전 합의 변경 시: ①~⑥ 제출서류 + 마약검사 확인서","근무처 추가는 허용되지 않음 (근무처 변경만 가능)
근무처 변경 사유:
① 고용주의 귀책사유로 인해 근로계약이 중도 해지된 경우 (계절근로자의 귀책사유 없이 근로계약이 중도 해지된 경우)
② 외국인등록 전 고용주·계절근로자 간 합의를 통한 근무처 변경 가능
원 고용주는 출입국관서 및 지자체에 고용변동신고서 제출",근무처 변경 수수료 면제,,,,,,,,,,,p. 317,,"계절근로, 근무처 변경, 고용주 재배정, 표준근로계약서, 산재보험","계절근로자가 근무처를 바꿀 수 있어요?
어떤 경우에 사업장을 옮길 수 있나요?
근무처 변경할 때 수수료는 내요?",미검수,
E-8,E-8,체류,체류자격외 활동허가,,,,"신청자 요건: '국내 체류 외국인 계절근로자 제도' 참여 대상 등록외국인
체류자격 외 활동허가 기간: 신청자의 체류기간 만료일 범위 내에서 최소 1주일부터 최장 8개월 이내","① 통합신청서, 외국인등록증, 여권
② 표준근로계약서 사본
③ 계절근로 참여 신청서
④ 유학생 계절근로 참여 추천서 (해당자만)
⑤ 산재보험 가입증명원 또는 농어업인 안전보험 보험증서
⑥ 건강보험 가입증명원 또는 가입 신청 입증서류 (해당자만)
⑦ 계절근로자 배치 대상 고용주 확인서
⑧ 거주/숙소 제공 확인서 (해당자만)",,수수료 면제,,"계절근로자(C-4, E-8)는 계절근로 이외의 다른 활동을 위한 체류자격외 활동허가를 허용하지 않음",,,,,,,,,p. 318,C-4,"계절근로, 자격외 활동허가, 등록외국인, 1주~8개월, 유학생 계절근로","유학생도 계절근로 할 수 있어요?
계절근로 자격외 활동허가는 얼마나 받을 수 있어요?
계절근로 외에 다른 일도 할 수 있나요?",미검수,
E-8,E-8,체류,체류기간 연장,,,,,"제출서류 (수수료 면제):
① 외국인 계절근로자(E-8) 체류기간 연장 추천 신청서
② 여권 및 외국인등록증
③ 거주/숙소 제공 확인서 (고용주의 등기부등본, 임대차계약서 등 추가서류 불요)
④ 근로계약서
⑤ 고용주 신분증
⑥ 인신매매 피해 식별지표
⑦ 체류기간 만료 계절근로자 체류기간 연장 추천서
⑧ 통합신청서
지방자치단체 방문 시: ①~⑥, 출입국·외국인관서 방문 시: ②~⑧","① 계절근로자 체류기간 만료일 60일~40일 전: 관할 지방자치단체로 신청 → 지방자치단체에서 관할 출입국·외국인관서로 일괄 신청
② 계절근로자 체류기간 만료일 40일 이내: 관할 지방자치단체로 신청 후 '체류기간 만료 계절근로자 체류기간 연장 추천서' 발급 받아 관할 출입국·외국인관서로 방문 신청",수수료 면제,,,,,,,,,,,p. 318,,"계절근로, 체류기간 연장, 지방자치단체 추천, 인신매매 피해 식별지표","계절근로 체류기간 연장은 어디서 신청해요?
연장은 만료 며칠 전에 신청해야 하나요?
체류기간 연장 추천서는 누가 발급해 주나요?",미검수,
E-9,E-9,체류,외국인등록,,,외국인근로자,"외국인 근로자의 고용에 관한 법률의 규정에 의한 국내 취업요건을 갖춘 자
고용허가제: ｢외국인근로자의 고용 등에 관한 법률｣에 의거, 사업주에게 외국인근로자의 고용을 허가하고, 외국인 근로자에게는 당해 사업주에게 고용되는 조건으로 최장 4년 10개월간 취업을 허용하는 인력제도
상시근로자(고용보험 기준) 300인 미만 또는 자본금 80억원 이하 중소기업에 외국인 고용허가
고용허가제 선정국가 17개국: 태국, 필리핀, 스리랑카, 베트남, 인도네시아, 몽골, 파키스탄, 우즈베키스탄, 캄보디아, 중국, 방글라데시, 네팔, 미얀마, 키르기스스탄, 동티모르, 라오스, 타지키스탄
활동범위: 외국인근로자의 고용에 관한 법률의 규정에 의한 국내취업
건설업 비숙련 외국인력(E-9) 업무수행가능 범위 40개 직종:
도장, 건축배관, 방수, 조적, 타일, 형틀목공, 강구조, 건축기계설비, 건축목공, 견출, 미장, 비계, 석공, 일반용접, 조경, 철거, 철근, 콘크리트, 토공, 특수용접, 도배, 수장, 지붕, 패널조립, 코킹, 창호, 유리, 보일러, 보온, 포장, 준설, 보링, 발파, 궤도, 벌목, 일반기계설비, 잠수, 제관, 덕트, 상하수도배관
각 직종은 자재 취급 방법과 공구 사용처를 이해하고 현장 공사 용어 및 안전수칙 등 해당 시공에 대한 기초적 지식을 습득한 자로서, 작업반장이나 숙련공의 지시에 따라 자재운반, 간단한 조립·결속 등 기능공들의 보조적 작업을 수행","① 신청서(별지34호 서식), 여권원본, 표준규격사진 1장, 수수료
② 사업자등록증 사본
③ 외국인근로자가 교육 중(또는 외국인등록 전) 고용회사의 폐업, 휴업, 기타 외국인의 귀책사유 없이 고용관계를 개시할 수 없어 고용노동부에서 사업장 변경을 해주는 경우 근무처변경허가가 아닌 변경된 사업장으로 외국인등록 (추가서류: 고용허가서 사본, 표준근로계약서 사본)
④ 법무부 지정 의료기관에서 발급한 ""마약검사확인서"" (마약류 관리에 관한 법률 제2조 제1항의 마약류; 등록 시 기준으로 3개월 이내 발급된 확인서)
⑤ 체류지 입증서류
건강진단서 및 마약검사확인서는 반드시 봉투에 밀봉된 상태로 제출 (개봉 불가)",,외국인등록증 발급·재발급 3만 5천원,"1회 부여 체류기간 상한 3년 (재고용 시 1년 10개월 추가, 최장 4년 10개월)",체류자격외 활동 억제,,,,,,,,"건설업 비숙련 외국인력(E-9) 업무수행 가능 40개 직종 및 역할
도장 / 건축배관 / 방수 / 조적 / 타일 / 형틀목공 / 강구조 / 건축기계설비 / 건축목공 / 견출 / 미장 / 비계 / 석공 / 일반용접 / 조경 / 철거 / 철근 / 콘크리트 / 토공 / 특수용접 / 도배 / 수장 / 지붕 / 패널조립 / 코킹 / 창호 / 유리 / 보일러 / 보온 / 포장 / 준설 / 보링 / 발파 / 궤도 / 벌목 / 일반기계설비 / 잠수 / 제관 / 덕트 / 상하수도배관",p. 318~319,,"비전문취업, 고용허가제, 외국인근로자, 17개국 MOU, 4년 10개월, 외국인등록, 마약검사확인서, 신청서","비전문취업 비자는 어떤 사람이 받을 수 있어요?
한국에서 일하려면 어느 나라 사람이 신청 가능한가요?
비전문취업으로 얼마나 머물 수 있어요?
비전문취업으로 외국인등록 할 때 무슨 서류 내요?",미검수,
E-9 (E-9-3),E-9,체류,근무처 변경/추가,E-9-3,,,"출입국관리법 제21조 및 외국인고용법 제25조에 의거, 비전문취업자의 근무처 변경에 대한 허가권자는 법무부장관
원칙적으로 최초 고용허가를 받은 사업장에서 계속 취업
예외적으로 사업장의 휴·폐업 등 그 사업 또는 사업장에서 정상적인 근로관계를 지속하기 곤란한 때 다른 사업 또는 사업장으로의 변경 신청 가능
변경 횟수: 입국한 날부터 3년 이내의 취업가능기간 중 원칙적으로 3회, 재고용절차에 따라 체류기간이 연장된 기간 중 2회 초과 불가 (휴·폐업 등 근로자 책임이 아닌 사유는 변경횟수에 미포함)
근로계약 체결 후 입국하여 최초 사업장 배치 전까지 사용자 귀책사유로 1회 변경한 경우가 3회에 포함되어 있을 때 1회 추가 허용
건설업종 특례: ""동일 원청 현장 내 업체 간 외국인력 이동""은 책임건설업체 승인 시 변경 횟수 미포함, 공사현장 총 허용인원 범위 내 자율적 배정
근무처 변경 사유: 사용자 정당한 사유로 근로계약 해지/갱신 거절 / 휴·폐업 등 근로자 책임 아닌 사유 / 고용허가 취소·고용제한 / 근로조건 위반 등 사용자 부당한 처우 / 상해 등으로 해당 사업장 계속 근무 부적합
신청자격: 작물재배업(계절적 농업)에 근무 중인 비전문취업(E-9-3) 자격자 (농협 대행 가능)
제도: 계절적으로 업무량 차이가 큰 일부 농업분야 외국인근로자가 원 사업장과의 근로계약은 유지하면서(무급휴직 처리) 일정기간 동안 다른 사업주와 근로계약을 체결하여 근무한 후, 근로계약기간이 만료되면 원 사업장으로 복귀하는 제도","① 신청서(별지 34호서식), 여권, 외국인등록증, 수수료, 체류지 입증서류
② 고용허가서 사본
③ 표준근로계약서 사본
④ '사업자등록증' 등 사업장 관련 입증서류
⑤ 건설업체의 경우 해당 현장 책임건설업체(원도급업체)가 작성한 ""건설현장에 대한 외국인력 현황표""
① 신청서(별지 34호 서식), 여권 및 외국인등록증, 수수료
② 추가근무처의 고용허가서 사본
③ 추가근무처의 표준근로계약서 사본
④ 영농규모증명서 및 사업자등록증 또는 고유번호증 사본 (없는 경우 주민등록등본)
⑤ 외국인근로자(신청자)의 위임장 (대행 시)","사용자와 근로계약 종료 후 1월 이내에 사업장 변경을 신청(고용노동부 고용센터), 사업장 변경 신청일로부터 3개월 이내에 근무처 변경허가 (관할 출입국·외국인청)
업무상 재해, 질병, 임신, 출산 등으로 근무처변경 허가를 받을 수 없거나 신청할 수 없는 경우 사유해소일로부터 기간 계산 (체류기간 만료 전 사업장변경신청기간 연장접수확인서 + 산재입증서류, 진단서 첨부하여 체류기간연장 신청, 수수료 면제)
신청방법: 원 근무처 관할 출입국·외국인청 방문 접수 (농협 대행 가능)",12만원,"체류기간 연장허가 상한은 최초 입국일로부터 3년, 재고용에 의한 취업기간 연장 허가기간 중 최초 입국일로부터 4년 10개월 초과 불가",,,"고용주 신고의무: 출입국관리법 제19조 신고의무는 원 근무처 고용주와 추가 근무처 고용주에게 모두 적용
정상적인 절차로 복귀하는 경우 원 근무처 고용주 신고의무 면제
근무처 추가 허가 시부터 근로계약 종료로 복귀하기 전까지 해고, 이탈, 퇴직 사유 발생 시 추가 근무처 고용주가 신고 (원 근무처 관할 출입국·외국인청에 신고, 추가 근무처 관할 청이 다른 경우 양쪽 기관에 모두 신고)
근로자가 중도에 복귀하거나 계약기간 종료 후에도 복귀하지 않는 경우 원 근무처 고용주가 신고",,,,,,,p. 319~321,,"비전문취업, 근무처 변경, 사업장 변경, 변경 횟수 3회, 건설업종 특례, 농업분야, 근무처 추가, 작물재배업","비전문취업 근무처는 어떻게 바꿀 수 있어요?
사업장 변경은 몇 번까지 가능해요?
회사가 폐업하면 어떻게 해요?
건설업은 따로 규정이 있나요?",미검수,
E-9,E-9,체류,체류자격 변경,,,,"고용허가제 등으로 입국 후 산업재해 치료 등을 위해 기타(G-1) 자격으로 변경 후 국내체류 중이던 외국인근로자 중 국내 체류기간 상한이 도래하지 않은 자
체류기간 상한(입국일로부터 기산): 비전문취업자(E-9) 3년, 다만 3년 만기 체류자 중 고용주가 재고용한 경우 1년 10개월 이내 체류기간",,,10만원,,,,,,,,,,,p. 322,G-1,"비전문취업, 자격 회복, 산업재해, G-1 변경","산재 치료 받다가 비전문취업으로 다시 돌아갈 수 있나요?
G-1에서 E-9으로 자격 변경 가능한 조건이 뭐예요?",미검수,
E-9,E-9,체류,체류기간 연장,,,,"취업활동기간연장 적용대상: '09. 12. 10. 이후에 외국인근로자 고용 등에 관한 법률 시행규칙에 따라 고용주가 재고용을 신청하여 '취업기간 만료자 취업활동기간 연장확인서'를 발급받은 비전문취업자
구직신청자 특례 대상: 구직등록 유효기간(구직신청일로부터 3개월) 이전에 체류기간만료일이 도래하는 자로서 사업장변경 가능 횟수가 남아 있는 자
구직신청자 특례 허가기간: 구직등록필증 발급일로부터 90일 범위 내
구직신청자 특례 제출서류: ① 신청서, 여권 및 외국인등록증 (수수료 없음) ② 자진출국 각서 ③ 구직등록필증 ④ 체류지 입증서류","① 신청서(별지 34호 서식), 여권 및 외국인등록증, 수수료
② 고용허가서 사본
③ 표준근로계약서 사본
④ 사업자등록증 사본
⑤ 입국 후 3년 만료 재고용에 따른 최대 1년 10개월 추가 연장의 경우 '취업기간만료자 취업활동기간 연장확인서(고용노동부 발급)'
⑥ 체류지 입증서류(임대차계약서, 숙소제공 확인서, 체류기간 만료예고 통지우편물, 공공요금 납부영수증, 기숙사비 영수증 등)",,6만원,,,,,,,,,,,p. 322,,"비전문취업, 체류기간 연장, 재고용, 취업활동기간 연장확인서, 구직신청자 특례","비전문취업 체류기간 연장하려면 무슨 서류 필요해요?
재고용 되면 얼마나 더 일할 수 있어요?
구직 중인 사람도 체류기간 연장 가능한가요?",미검수,
E-9,E-9,체류,재입국허가,,,,,"신청서(별지 34호 서식), 여권, 외국인등록증, 수수료(단수 3만원, 복수 5만원)",,"단수 3만원, 복수 5만원",,입국규제 및 사증발급규제자는 체류지 관할 청(사무소·출장소)에 방문하여 재입국허가를 받아야 하며 수수료 제출 대상,"재입국허가 면제 제도 시행('10.12.1.자 개정 시행규칙)
- 등록을 필한 외국인이 출국한 날부터 1년 이내에 재입국하려는 경우 재입국허가 면제
- 체류기간이 1년보다 적게 남아있는 경우 체류기간 범위 내에서 재입국허가 면제",,,,,,,,p. 322,,"비전문취업, 재입국허가, 면제, 1년 이내, 수수료","비전문취업자가 잠깐 본국 갔다 오려면 재입국허가 받아야 해요?
재입국허가 면제는 언제 적용되나요?
재입국허가 수수료는 얼마예요?",미검수,
E-9,E-9,체류,고용변동 신고,,비전문취업(E-9) 외국인근로자를 고용한 자,,,"① 고용·연수 외국인 변동사유 발생신고서(별지 32호 서식), 외국인등록증 사본 (소재불명 신고의 경우 대상자의 휴대폰 번호, 예상소재지 등을 반드시 포함)
② 사업자등록증 사본
③ 고용주 신분증 (고용주 직접 신고 시)
④ 회사 직원 대리 신청 시: 고용주 위임장, 재직증명서, 직원 신분증","신고기한: 법 제19조 및 법시행령 제24조 제2항 등의 사유 발생 사실을 안 날부터 15일 이내 주소지 관할 출입국·외국인관서에 신고
신고방법: 방문신고(체류지 관할 청 직접방문) / 팩스신고(1577-1346) / 하이코리아 전자민원(www.hikorea.go.kr)
하이코리아 전자민원은 체류지 관할 청 구분 없이 신고 가능 (시스템 자동 구분), 신고기한 도과하지 않은 경우만 처리
하이코리아 전자민원은 고용노동부 고용변동신고와 일원화 실시(2011.10.17)
신고사유: 외국인을 해고하거나 외국인이 중도 퇴직한 때 (계약기간 만료로 인한 퇴직은 신고 불필요) / 외국인이 사망한 때 / 고용외국인의 소재를 알 수 없게 된 때 / 고용계약의 중요 내용 변경 (계약기간 변경, 고용주·대표자 변경, 근무처 명칭 변경, 근무처 이전·소재지 변경)",,,,,비전문취업(E-9) 외국인근로자를 고용한 자는 사유 발생 사실을 안 날부터 15일 이내 신고 의무,,,,,,,p. 323,,"비전문취업, 고용변동신고, 15일 이내, 하이코리아, 별지 32호","비전문취업 외국인이 그만두면 누가 신고해요?
고용변동 신고는 며칠 안에 해야 해요?
하이코리아로도 신고할 수 있나요?",미검수,
E-10,E-10,체류,외국인등록,,,,"내항선원 (E-10-1): 해운법 제3조제1호(내항정기여객)·제2호(내항부정기여객) 및 제23조제1호(내항화물운송)의 규정에 의한 사업을 영위하는 자와 그 사업체에서 6개월 이상 노무를 제공할 것을 조건으로 선원근로계약을 체결한 자로서 선원법 제2조 제6호의 부원에 해당하는 자 (선원법이 적용되는 선박 중 어선을 제외한 총톤수 5톤 이상의 내항상선에 승선하는 부원에 한함)
어선원 (E-10-2): 수산업법 제7조제1항제1호(정치망어업), 제40조제1항(동력어선을 이용한 근해어업), 제51조제1항(어획물운반업)의 규정에 의한 사업을 영위하는 자와 그 사업체(20톤 이상의 어선)에서 6개월 이상 노무를 제공할 것을 조건으로 선원근로계약을 체결한 자로서 선원법 제2조 제6호의 부원에 해당하는 자
순항여객선원 (E-10-3): 크루즈산업의 육성 및 지원에 관한 법률 제2조제7호에 따른 국적 크루즈 사업자로서 같은 조 제4호에 따른 국제순항 크루즈선을 이용하여 사업을 경영하는 자와 그 사업체에서 6개월 이상 노무를 제공할 것을 조건으로 선원근로계약을 체결한 자로서, 총톤수 2천 톤 이상의 크루즈선에 승선하는 선원법 제2조제6호의 부원에 해당하는 자
활동범위: 내항선원으로 국내취업 / 20톤 이상의 어선원으로 국내취업 / 2천톤 이상의 순항여객선원으로 국내취업
선원취업(E-10) 자격은 고용허가제 적용대상이 아니어서 비전문취업(E-9)과 분리하여 적용","① 신청서(별지34호 서식), 여권원본, 표준규격사진 1장, 수수료
② 내항여객운송사업면허증 또는 내항화물운송등록증
③ 건강검진서 (반드시 봉투에 밀봉된 상태로 제출, 개봉 불가)
④ 마약검사 확인서 (반드시 봉투에 밀봉된 상태로 제출, 개봉 불가)
⑤ 산업재해보상보험 또는 상해보험 가입증명원
⑥ 체류지 입증서류",,외국인등록증 발급·재발급 3만 5천원,1회 부여 체류기간 상한 3년 (재고용 시 최대 4년 10개월),체류자격외 활동 억제,,,,,,,,,p. 331,E-9,"선원취업, 내항선원, 어선원, 순항여객선원, 부원, 외국인등록, 건강검진서, 마약검사","선원취업 비자는 어떤 사람이 받을 수 있어요?
내항선원이랑 어선원이 어떻게 달라요?
선원취업으로 얼마나 머물 수 있어요?
선원취업으로 외국인등록할 때 무슨 서류 내요?",미검수,[자동 플래그] E-10 sub-program 3종 합본 — 분리 검토 필요
E-10 (E-10-2),E-10,체류,체류자격외 활동허가,E-10-2,,어선원(E-10-2),"허용하는 다른 체류자격: 비전문취업(E-9)
해당활동: 어획물에 대한 건조, 포장 등 어획물과의 연계 작업활동
허용요건 (모두 충족):
- 원 고용주와 체류자격 외 활동 예정 근무지 고용주가 동일할 것
- 어획 → 위판 과정 상 어획물 생산활동에 부수되는 작업일 것
허용시기: 조업기 중 (금어기 중 신청은 가능)
허용인원: 해당 외국인선원의 선박 실제 근무 외국인선원 중 1/3 이내 (소수점 이하는 절사)
허용기간: 본 체류자격의 체류허가기간 중 1/3을 초과하지 못함",,,12만원,,,,,,,,,,,p. 329,E-9,"어선원, 자격외 활동허가, 어획물 건조 포장, 1/3 이내","어선원이 어획물 건조나 포장 일도 할 수 있어요?
자격외 활동허가는 몇 명까지 받을 수 있나요?
조업기 외에도 신청할 수 있어요?",미검수,
E-10,E-10,체류,근무처 변경/추가,,,,선원취업자가 사업장의 휴·폐업 등으로 정상적인 근로관계를 지속하기 곤란한 때에는 지방해양수산청장의 추천을 받아 근무처 변경 신청 가능,"① 신청서(별지 34호서식), 여권 및 외국인등록증, 수수료
② 한국해운조합 또는 수산업협동조합중앙회 발급 외국인 고용추천서
③ 고용계약서
④ 사업자등록증
⑤ 산재서류 또는 진단서 (필요시)
⑥ 신원보증서",,동일 선사 선박 간 이동근무 시 수수료 면제,,"동일 선사(선주)의 선박 간 이동근무 시에도 미리 근무처변경 허가를 받아야 함 (단, 이 경우 수수료 면제)",,,,,,,,,p. 329~330,,"선원취업, 근무처 변경, 지방해양수산청 추천, 한국해운조합, 수협중앙회","선원이 근무처 바꾸려면 어떻게 해요?
같은 회사 다른 배로 옮길 때도 허가 받아야 해요?
추천서는 어디서 받아요?",미검수,
